DateVal,CMODateCount,CumCases,date,total,pos,deaths
2020-03-14T00:00:00Z,343,1140,2020-03-15,40279,1372,35
2020-03-13T00:00:00Z,207,797,2020-03-14,37746,1140,21
2020-03-12T00:00:00Z,139,590,2020-03-13,32771,798,10
2020-03-11T00:00:00Z,83,456,2020-03-12,29764,590,8
2020-03-10T00:00:00Z,52,373,2020-03-11,27476,456,6
2020-03-09T00:00:00Z,50,321,2020-03-10,26261,373,6
2020-03-08T00:00:00Z,65,271,2020-03-09,24960,319,3
2020-03-07T00:00:00Z,46,206,2020-03-08,23513,273,2
2020-03-06T00:00:00Z,46,160,2020-03-07,21460,206,NA
2020-03-05T00:00:00Z,29,114,2020-03-06,20338,163,NA
2020-03-04T00:00:00Z,34,85,2020-03-05,18083,115,NA
2020-03-03T00:00:00Z,11,51,2020-03-04,16659,85,NA
2020-03-02T00:00:00Z,5,40,2020-03-03,13911,51,NA
2020-03-01T00:00:00Z,12,35,2020-03-02,13525,40,NA
2020-02-29T00:00:00Z,4,23,2020-03-01,11750,35,NA
2020-02-28T00:00:00Z,6,19,2020-02-29,10483,23,NA
2020-02-27T00:00:00Z,0,13,2020-02-28,8986,20,NA
2020-02-26T00:00:00Z,0,13,2020-02-27,7690,15,NA
2020-02-25T00:00:00Z,0,13,2020-02-26,7132,13,NA
2020-02-24T00:00:00Z,4,13,2020-02-25,6795,13,NA
2020-02-23T00:00:00Z,0,9,2020-02-24,2,9,NA
2020-02-22T00:00:00Z,0,9,2020-02-23,2,9,NA
2020-02-21T00:00:00Z,0,9,2020-02-22,2,9,NA
2020-02-20T00:00:00Z,0,9,2020-02-21,2,9,NA
2020-02-19T00:00:00Z,0,9,2020-02-20,2,9,NA
2020-02-18T00:00:00Z,0,9,2020-02-19,2,9,NA
2020-02-17T00:00:00Z,0,9,2020-02-18,2,9,NA
2020-02-16T00:00:00Z,0,9,2020-02-17,2,9,NA
2020-02-15T00:00:00Z,0,9,2020-02-16,2,9,NA
2020-02-14T00:00:00Z,0,9,2020-02-15,2,9,NA
2020-02-13T00:00:00Z,1,9,2020-02-14,2,9,NA
2020-02-12T00:00:00Z,0,8,2020-02-13,2,9,NA
2020-02-11T00:00:00Z,0,8,2020-02-12,2,8,NA
2020-02-10T00:00:00Z,4,8,2020-02-11,2,8,NA
2020-02-09T00:00:00Z,1,4,2020-02-10,2,8,NA
2020-02-08T00:00:00Z,0,3,2020-02-09,2,4,NA
2020-02-07T00:00:00Z,0,3,2020-02-08,2,3,NA
2020-02-06T00:00:00Z,1,3,2020-02-07,2,3,NA
2020-02-05T00:00:00Z,0,2,2020-02-06,2,3,NA
2020-02-04T00:00:00Z,0,2,2020-02-05,2,2,NA
2020-02-03T00:00:00Z,0,2,2020-02-04,2,2,NA
2020-02-02T00:00:00Z,0,2,2020-02-03,2,2,NA
2020-02-01T00:00:00Z,0,2,2020-02-02,2,2,NA
2020-01-31T00:00:00Z,2,2,2020-02-01,2,2,NA
NA,NA,NA,2020-01-31,2,2,NA
